,City,Lat,Lng,Max Temp,Min Temp,Current Description,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),Country
263,Westport,41.14,-73.36,75.2,68.0,few clouds,69,20,3.36,0.0,0,US
264,Lompoc,34.64,-120.46,66.2,60.8,clear sky,68,2,16.11,0.0,0,US
265,Uusikaupunki,60.8,21.41,50.0,50.0,scattered clouds,100,40,3.36,0.0,0,FI
266,Heishan,41.69,122.11,84.76,84.76,clear sky,48,2,3.2,0.0,0,CN
267,Coquimbo,-29.95,-71.34,51.8,51.8,overcast clouds,93,90,3.36,0.0,0,CL
268,Abu Samrah,35.3,37.18,71.58,71.58,clear sky,55,0,6.58,0.0,0,SY
269,Palana,59.12,159.97,54.19,54.19,overcast clouds,85,100,14.07,0.0,0,RU
270,Pangkalanbuun,-2.68,111.62,78.75,78.75,broken clouds,86,52,1.5,0.0,0,ID
271,Maicao,11.38,-72.24,80.64,80.64,clear sky,76,0,9.31,0.0,0,CO
272,Leshan,29.56,103.76,79.47,79.47,light rain,90,100,4.09,0.26,0,CN
273,Aripuana,-9.17,-60.63,75.52,75.52,clear sky,58,0,1.77,0.0,0,BR
274,Sorland,67.67,12.69,56.52,56.52,clear sky,75,0,7.61,0.0,0,NO
275,Ostrovnoy,68.05,39.51,46.24,46.24,overcast clouds,82,100,9.44,0.0,0,RU
276,Severo-Kurilsk,50.68,156.12,55.99,55.99,overcast clouds,80,99,10.18,0.0,0,RU
277,Opuwo,-18.06,13.84,55.53,55.53,clear sky,29,0,13.58,0.0,0,NA
278,Fort Nelson,58.81,-122.7,73.4,73.4,broken clouds,35,75,3.36,0.0,0,CA
279,The Valley,18.22,-63.06,84.2,82.0,few clouds,70,20,11.41,0.0,0,AI
280,Gundorovskiy,46.78,41.9,62.24,62.24,clear sky,86,0,6.87,0.0,0,RU
281,Peleduy,59.63,112.74,82.62,82.62,clear sky,45,1,2.08,0.0,0,RU
282,Gushikawa,26.35,127.87,87.8,87.01,clear sky,79,1,17.22,0.0,0,JP
283,Iranshahr,27.2,60.68,91.4,91.4,few clouds,46,15,4.7,0.0,0,IR
284,Padang,-0.95,100.35,80.91,80.91,scattered clouds,66,40,3.36,0.0,0,ID
